Q4Age,Q3Income,Q5Gender,Q4Marital,Q7Religion,Q8Caste,Q9FamilyNo,Q10Readwrite,Q11Qualificatio,Q12Occupatio,Q13.1Incomesour,Q14Electricity,Q14.2IfNot,Q15.1toilet,Q15.2toilet,Q19Land,Q22.1Loan,Satisfaction_from_service
32,14585,Male,Married,Hindu,T Dalit,4,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
56,20206,Male,Married,Hindu,Khas Aryan,6,Both Not Read & Write,Illiterate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
57,15723,Female,Married,Hindu,Khas Aryan,5,Both Not Read & Write,Illiterate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
57,23241,Female,Married,Hindu,Khas Aryan,5,Both Not Read & Write,Illiterate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
29,20939,Male,Married,Hindu,T Dalit,6,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
33,20883,Male,Married,Hindu,Khas Aryan,6,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
32,22999,Male,Married,Buddhist,H Jananati,5,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
32,11287,Male,Married,Buddhist,H Jananati,5,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
26,23155,Female,Married,Hindu,Khas Aryan,5,Both Read & Write,Plus Two,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
31,19283,Male,Married,Hindu,T Janajati,6,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Satisfaction
42,21269,Female,Married,Hindu,T Dalit,5,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
25,19879,Male,Married,Hindu,Madheshi,6,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
30,12705,Male,Married,Hindu,Khas Aryan,5,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
39,15678,Female,Married,Hindu,T Dalit,8,Both Read & Write,Literate,Wage,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
45,10127,Female,Married,Hindu,Madheshi,4,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
44,15644,Male,Married,Hindu,Khas Aryan,4,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
39,18838,Male,Married,Hindu,T Dalit,7,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Little satisfaction
40,20415,Male,Married,Hindu,Madheshi,4,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Satisfaction
39,22170,Male,Married,Hindu,Madheshi,5,Both Read & Write,Literate,Wage,No,Yes, ,Yes,Kachchi,1 ha,No,Little satisfaction
49,15402,Male,Married,Hindu,Madheshi,5,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Not satisfaction
56,12246,Female,Married,Hindu,Madheshi,3,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
57,16280,Male,Married,Buddhist,H Jananati,7,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Satisfaction
38,19488,Female,Married,Hindu,T Janajati,5,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Not satisfaction
36,11824,Male,Married,Hindu,T Janajati,4,Both Read & Write,Plus Two,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Not satisfaction
27,22611,Male,Married,Hindu,T Janajati,7,Both Read & Write,School Level,Wage,No,Yes, ,Yes,Kachchi,1 ha,No,Not satisfaction
32,21250,Female,Married,Hindu,Khas Aryan,7,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
51,13318,Male,Married,Hindu,Khas Aryan,10,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
59,13647,Male,Married,Hindu,Khas Aryan,6,Both Read & Write,School Level,Government Job,Yes,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
50,10302,Male,Married,Hindu,Madheshi,6,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
51,19485,Female,Married,Hindu,T Dalit,6,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
60,14221,Male,Married,Hindu,T Dalit,5,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
60,18738,Female,Married,Hindu,Khas Aryan,7,Both Not Read & Write,Illiterate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
61,12226,Female,Married,Hindu,T Dalit,5,Both Not Read & Write,Illiterate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
22,13540,Male,Unmarried,Hindu,T Janajati,6,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
38,10427,Male,Married,Buddhist,H Jananati,4,Both Read & Write,Plus Two,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
25,17774,Male,Married,Hindu,T Janajati,6,Both Read & Write,Plus Two,Others,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
33,14917,Male,Married,Hindu,Madheshi,5,Both Read & Write,Literate,Wage,No,Yes, ,Yes,Kachchi,1 ha,Yes,Satisfaction
67,15796,Male,Married,Hindu,Madheshi,9,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,Yes,Satisfaction
65,10581,Male,Married,Hindu,Madheshi,4,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,Yes,Satisfaction
30,20205,Male,Married,Hindu,Khas Aryan,5,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,Yes,Little satisfaction
68,21475,Male,Married,Hindu,Madheshi,11,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,Yes,Satisfaction
56,10961,Male,Married,Hindu,Madheshi,6,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,Yes,Little satisfaction
58,12933,Male,Married,Hindu,T Janajati,5,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,Yes,Satisfaction
39,22756,Male,Married,Hindu,Madheshi,4,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,Yes,Satisfaction
47,18043,Male,Married,Hindu,T Janajati,4,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,Yes,Satisfaction
42,19874,Male,Married,Hindu,T Janajati,5,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,Yes,Satisfaction
47,22712,Male,Married,Hindu,T Janajati,4,Both Read & Write,School Level,Agriculture,No,No,Tuki,Yes,Kachchi,1 ha,Yes,Satisfaction
22,10673,Male,Married,Hindu,T Janajati,3,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,Yes,Satisfaction
28,14408,Male,Married,Hindu,T Janajati,4,Both Read & Write,School Level,Wage,No,Yes, ,Yes,Kachchi,1 ha,Yes,Satisfaction
24,11486,Male,Married,Hindu,T Dalit,3,Both Read & Write,School Level,Wage,No,Yes, ,Yes,Kachchi,1 ha,Yes,Satisfaction
40,15608,Male,Married,Buddhist,H Jananati,5,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,Yes,Little satisfaction
22,23673,Female,Married,Hindu,H Dalit,4,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,Yes,Satisfaction
36,18382,Male,Married,Hindu,T Dalit,5,Both Read & Write,School Level,Wage,No,Yes, ,Yes,Kachchi,1 ha,Yes,Satisfaction
59,21599,Male,Married,Hindu,T Dalit,10,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,Yes,Satisfaction
39,19624,Female,Married,Buddhist,H Jananati,8,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,Yes,Satisfaction
48,13115,Male,Married,Hindu,Khas Aryan,4,Both Read & Write,School Level,Agriculture,Yes,Yes, ,Yes,Pakki,1 ha,Yes,Satisfaction
57,20545,Male,Married,Hindu,Khas Aryan,5,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,Yes,Little satisfaction
30,39300,Male,Married,Hindu,Khas Aryan,8,Both Read & Write,School Level,Agriculture,No,No,Tuki,Yes,Pakki,1 ha,No,Satisfaction
33,36503,Male,Married,Hindu,Khas Aryan,8,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
24,37328,Male,Married,Hindu,Newar,6,Both Read & Write,School Level,Private Job,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
46,38526,Male,Married,Hindu,T Janajati,12,Both Read & Write,Plus Two,Government Job,Yes,No,Tuki,Yes,Pakki,1 ha,No,Satisfaction
32,35286,Male,Married,Buddhist,H Jananati,6,Both Read & Write,Plus Two,Business,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
24,39000,Male,Married,Hindu,Khas Aryan,5,Both Read & Write,Plus Two,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
31,36028,Male,Married,Buddhist,H Jananati,4,Both Read & Write,Plus Two,Government Job,Yes,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
42,28967,Female,Married,Hindu,Khas Aryan,8,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
21,33649,Female,Unmarried,Hindu,Khas Aryan,7,Both Read & Write,Plus Two,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
53,27862,Male,Married,Hindu,Khas Aryan,7,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,Yes,Little satisfaction
38,37383,Male,Married,Buddhist,H Jananati,6,Both Read & Write,Plus Two,Government Job,Yes,Yes, ,Yes,Pakki,1 ha,Yes,Satisfaction
41,9308,Male,Married,Hindu,Madheshi,7,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Not satisfaction
28,7660,Female,Married,Hindu,H Dalit,10,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Not satisfaction
28,6893,Female,Married,Hindu,H Dalit,6,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
27,6154,Female,Married,Buddhist,H Jananati,6,Both Read & Write,Plus Two,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Not satisfaction
47,6459,Male,Married,Hindu,T Janajati,5,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Satisfaction
28,8313,Male,Unmarried,Hindu,T Dalit,7,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Satisfaction
53,8719,Male,Married,Hindu,Madheshi,5,Both Read & Write,Literate,Wage,No,Yes, ,Yes,Kachchi,1 ha,No,Satisfaction
32,7932,Male,Married,Hindu,T Janajati,3,Both Read & Write,Plus Two,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
40,7065,Male,Married,Hindu,T Janajati,5,Both Read & Write,School Level,Government Job,Yes,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
34,6537,Male,Married,Hindu,Madheshi,6,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
25,7001,Male,Unmarried,Hindu,T Janajati,5,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Not satisfaction
42,9995,Male,Married,Hindu,Madheshi,5,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
37,5666,Male,Married,Hindu,T Janajati,4,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
38,7946,Male,Married,Hindu,Khas Aryan,4,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
32,8159,Male,Married,Hindu,T Dalit,5,Both Read & Write,Literate,Agriculture,No,Yes, ,No, ,1 ha,No,Satisfaction
25,7170,Male,Married,Hindu,Madheshi,4,Both Read & Write,Plus Two,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Little satisfaction
26,5690,Male,Unmarried,Hindu,T Dalit,5,Both Read & Write,School Level,Wage,No,Yes, ,Yes,Kachchi,1 ha,No,Satisfaction
33,8372,Male,Married,Buddhist,H Jananati,6,Both Read & Write,School Level,Agriculture,Yes,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
50,9798,Female,Married,Hindu,Madheshi,6,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
20,7272,Male,Unmarried,Hindu,T Dalit,9,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
28,7441,Male,Unmarried,Hindu,T Dalit,8,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
22,6612,Male,Unmarried,Hindu,Madheshi,6,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
41,7007,Male,Married,Hindu,T Janajati,5,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
21,5923,Male,Unmarried,Hindu,Madheshi,4,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
21,6567,Male,Unmarried,Hindu,Khas Aryan,4,Both Read & Write,Plus Two,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
52,7103,Male,Married,Hindu,Khas Aryan,5,Both Read & Write,Literate,Business,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
36,9997,Male,Married,Hindu,Madheshi,4,Both Read & Write,School Level,Business,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
35,5177,Male,Married,Hindu,T Dalit,6,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
54,7777,Male,Married,Hindu,T Dalit,4,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
43,6934,Male,Married,Hindu,Newar,4,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Little satisfaction
62,6464,Male,Married,Hindu,Khas Aryan,7,Both Read & Write,Plus Two,Government Job,Yes,Yes, ,Yes,Kachchi,1 ha,No,Fully satisfaction
58,7097,Male,Married,Hindu,Khas Aryan,8,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
56,5943,Male,Married,Hindu,Madheshi,4,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
57,5984,Male,Married,Hindu,Khas Aryan,6,Both Not Read & Write,Illiterate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
42,9553,Male,Married,Buddhist,H Jananati,6,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
55,6097,Male,Married,Hindu,Madheshi,5,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Not satisfaction
35,5284,Male,Married,Hindu,Madheshi,4,Both Read & Write,Plus Two,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
30,8269,Female,Married,Hindu,T Janajati,3,Both Read & Write,Plus Two,Government Job,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
38,8116,Male,Married,Hindu,T Janajati,6,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,Yes,Satisfaction
65,7499,Male,Married,Hindu,T Janajati,10,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,Yes,Satisfaction
58,8317,Male,Married,Hindu,T Janajati,15,Both Read & Write,Plus Two,Government Job,Yes,Yes, ,Yes,Pakki,1 ha,Yes,Satisfaction
47,7908,Male,Married,Hindu,T Janajati,6,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,Yes,Satisfaction
54,9553,Male,Married,Hindu,T Janajati,5,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,Yes,Satisfaction
37,15723,Female,Married,Hindu,T Janajati,5,Both Read & Write,Plus Two,Government Job,Yes,Yes, ,Yes,Kachchi,1 ha,No,Satisfaction
20,19554,Male,Unmarried,Hindu,T Janajati,4,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
48,22970,Male,Married,Hindu,Khas Aryan,5,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
52,15795,Male,Married,Hindu,T Dalit,4,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
20,21262,Female,Married,Hindu,T Janajati,5,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
27,14955,Male,Married,Hindu,T Dalit,5,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
62,10519,Male,Married,Hindu,Khas Aryan,5,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
26,20791,Male,Unmarried,Hindu,T Dalit,4,Both Read & Write,Bachelor,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
27,22805,Male,Married,Hindu,Madheshi,4,Both Read & Write,Bachelor,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
28,24186,Male,Married,Hindu,T Dalit,5,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
22,12372,Male,Married,Hindu,T Dalit,4,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
49,16380,Male,Married,Hindu,T Dalit,8,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
35,24307,Male,Married,Buddhist,H Jananati,5,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Not satisfaction
38,11923,Male,Married,Hindu,T Dalit,4,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
27,10602,Male,Married,Hindu,T Janajati,6,Both Read & Write,Plus Two,Government Job,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
38,19804,Female,Married,Hindu,Khas Aryan,5,Both Read & Write,Literate,Business,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
23,20321,Male,Unmarried,Hindu,Madheshi,4,Both Read & Write,School Level,Private Job,No,Yes, ,Yes,Kachchi,1 ha,No,Satisfaction
26,15712,Male,Married,Hindu,Madheshi,5,Both Read & Write,School Level,Private Job,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
24,18076,Male,Married,Buddhist,H Jananati,6,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
34,11176,Male,Married,Hindu,Khas Aryan,4,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
43,24053,Male,Married,Hindu,Madheshi,4,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
32,18600,Male,Married,Hindu,Khas Aryan,5,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
20,22259,Male,Unmarried,Hindu,T Janajati,6,Both Read & Write,School Level,Others,No,No,Tuki,Yes,Kachchi,1 ha,No,Not satisfaction
87,23485,Male,Married,Hindu,T Janajati,4,Both Not Read & Write,Illiterate,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Satisfaction
40,19475,Male,Married,Hindu,Khas Aryan,5,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Satisfaction
38,15675,Male,Married,Hindu,T Janajati,3,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Satisfaction
28,23082,Female,Married,Buddhist,H Jananati,5,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
21,24342,Female,Married,Hindu,T Dalit,7,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
21,24024,Male,Unmarried,Hindu,T Janajati,6,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
36,22332,Male,Married,Hindu,T Janajati,6,Both Read & Write,School Level,Wage,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
49,17728,Male,Married,Hindu,T Janajati,4,Both Read & Write,Literate,Households,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
42,13674,Male,Married,Hindu,Khas Aryan,4,Both Read & Write,Plus Two,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Fully satisfaction
31,12461,Female,Married,Hindu,Khas Aryan,8,Both Read & Write,Bachelor,Others,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
37,22014,Male,Married,Hindu,T Janajati,5,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,Yes,Satisfaction
50,22044,Male,Married,Hindu,Madheshi,9,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,Yes,Satisfaction
36,14152,Male,Married,Hindu,Khas Aryan,8,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,Yes,Little satisfaction
41,21596,Male,Married,Hindu,Khas Aryan,5,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,Yes,Satisfaction
22,34371,Male,Unmarried,Hindu,T Dalit,4,Both Read & Write,School Level,Wage,No,Yes, ,Yes,Pakki,1 ha,No,Fully satisfaction
27,28086,Male,Unmarried,Hindu,T Dalit,4,Both Read & Write,School Level,Others,No,Yes, ,Yes,Kachchi,1 ha,No,Satisfaction
35,32796,Male,Married,Hindu,T Janajati,7,Both Read & Write,Plus Two,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
20,34334,Female,Married,Hindu,T Janajati,5,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Fully satisfaction
21,25288,Male,Married,Hindu,T Dalit,7,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
28,38590,Male,Unmarried,Hindu,T Dalit,5,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
20,30103,Male,Unmarried,Hindu,T Janajati,4,Only Read,Literate,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Satisfaction
50,27490,Female,Married,Hindu,Madheshi,6,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Satisfaction
20,27458,Male,Unmarried,Hindu,T Dalit,4,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Little satisfaction
27,29799,Male,Unmarried,Hindu,T Dalit,6,Both Read & Write,Plus Two,Private Job,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
26,35901,Male,Unmarried,Hindu,T Dalit,2,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
24,39002,Male,Unmarried,Hindu,T Dalit,7,Both Read & Write,School Level,Others,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
26,37862,Male,Married,Buddhist,H Jananati,4,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
34,34675,Male,Married,Buddhist,H Jananati,11,Both Read & Write,Bachelor,Private Job,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
48,31974,Male,Married,Hindu,Khas Aryan,4,Both Read & Write,Bachelor,Government Job,Yes,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
39,28411,Female,Married,Buddhist,H Jananati,6,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
37,26844,Female,Married,Buddhist,H Jananati,14,Both Read & Write,School Level,Business,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
41,30924,Male,Married,Hindu,Khas Aryan,6,Both Read & Write,School Level,Business,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
45,31333,Male,Married,Hindu,Khas Aryan,4,Both Read & Write,School Level,Business,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
20,30426,Female,Unmarried,Hindu,Khas Aryan,4,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Little satisfaction
42,34870,Male,Married,Hindu,Khas Aryan,5,Both Read & Write,Bachelor,Government Job,Yes,Yes, ,Yes,Pakki,1 ha,Yes,Little satisfaction
42,27686,Male,Married,Hindu,Khas Aryan,5,Both Read & Write,Bachelor,Government Job,Yes,Yes, ,Yes,Pakki,1 ha,Yes,Little satisfaction
33,35802,Male,Married,Buddhist,H Jananati,15,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Pakki,1 ha,Yes,Not satisfaction
67,30950,Male,Married,Hindu,Khas Aryan,4,Both Read & Write,School Level,Business,No,Yes, ,Yes,Pakki,1 ha,Yes,Little satisfaction
22,4336,Female,Married,Hindu,Madheshi,3,Both Read & Write,Plus Two,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Satisfaction
25,4696,Female,Married,Hindu,T Janajati,6,Both Read & Write,Plus Two,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Satisfaction
25,9025,Male,Married,Hindu,Madheshi,4,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Satisfaction
41,9167,Female,Married,Hindu,Madheshi,4,Both Read & Write,School Level,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Satisfaction
26,6840,Female,Married,Hindu,Madheshi,4,Both Read & Write,Plus Two,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
30,5807,Male,Married,Hindu,Madheshi,7,Both Read & Write,Literate,Agriculture,No,Yes, ,No, ,1 ha,No,Satisfaction
25,16719,Male,Married,Hindu,T Janajati,3,Both Read & Write,Plus Two,Agriculture,No,Yes, ,Yes,Pakki,1 ha,No,Satisfaction
33,16832,Male,Married,Hindu,T Dalit,8,Both Read & Write,Literate,Wage,No,Yes, ,Yes,Kachchi,1 ha,No,Satisfaction
29,19942,Female,Married,Hindu,Madheshi,4,Both Read & Write,Plus Two,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,No,Satisfaction
38,21290,Male,Married,Hindu,Madheshi,6,Both Read & Write,Literate,Agriculture,No,Yes, ,Yes,Kachchi,1 ha,Yes,Satisfaction
56,11687,Male,Married,Hindu,T Dalit,4,Both Read & Write,Literate,Wage,No,Yes, ,Yes,Kachchi,1 ha,Yes,Little satisfaction
43,17553,Male,Married,Hindu,Madheshi,4,Both Read & Write,School Level,Wage,No,Yes, ,Yes,Kachchi,1 ha,Yes,Little satisfaction
