SN,Age,gender,Qualificaiton,academic field,year in profession,marital,adm_role,time in social media,Training in Emotional Intelligence?
390,35,Male,Bachelor degree ,Engineering,11-20,Married,No,7  or above,No
391,50,Female,Bachelor degree ,Management,21-30,Unmarried,No,1-2,Yes
392,66,Male,Master Degree,Engineering,31-40,Married,Yes,1-2,No
393,36,Male,Master Degree,Engineering,6-10,Unmarried,Yes,3-4,No
394,38,Male,Master Degree,Management,6-10,Married,Yes,3-4,No
395,31,Female,Master Degree,Management,11-20,Married,Yes,1-2,Yes
396,74,Female,Bachelor degree ,Management,31-40,Married,No,3-4,Yes
397,50,Male,Master Degree,Management,11-20,Married,Yes,1-2,No
398,54,Female,Ph.D,Management,11-20,Married,No,1-2,No
399,40,Male,Master Degree,Humanities,11-20,Married,No,3-4,No
400,47,Male,Ph.D,Humanities,21-30,Married,No,1-2,Yes
401,52,Female,Ph.D,Humanities,21-30,Married,No,1-2,No
402,43,Male,Master Degree,Humanities,11-20,Married,No,1-2,No
403,40,Female,Ph.D,Management,11-20,Unmarried,Yes,1-2,No
404,50,Male,Ph.D,Humanities,11-20,Married,Yes,1-2,Yes
405,50,Male,Bachelor degree ,Management,21-30,Married,Yes,3-4,No
406,54,Male,Master Degree,Management,31-40,Married,Yes,1-2,Yes
407,40,Male,Ph.D,Science and Technology,11-20,Married,Yes,1-2,No
408,30,Male,Bachelor degree ,Humanities,0-5,Unmarried,Yes,3-4,No
409,59,Male,Bachelor degree ,Management,31-40,Unmarried,No,1-2,Yes
410,53,Male,Bachelor degree ,Management,31-40,Unmarried,No,1-2,Yes
411,40,Female,Ph.D,Science and Technology,0-5,Unmarried,Yes,1-2,Yes
412,32,Male,Master Degree,Science and Technology,6-10,Married,No,3-4,Yes
413,34,Male,Master Degree,Management,6-10,Married,Yes,1-2,No
414,30,Female,Bachelor degree ,Science and Technology,0-5,Unmarried,Yes,5-6,No
415,44,Male,Ph.D,Science and Technology,21-30,Married,Yes,1-2,Yes
416,44,Male,Master Degree,Management,11-20,Married,Yes,3-4,No
417,36,Male,Bachelor degree ,Science and Technology,0-5,Married,No,5-6,No
418,20,Male,Bachelor degree ,Science and Technology,0-5,Unmarried,No,3-4,No
419,56,Male,Bachelor degree ,Management,31-40,Married,Yes,3-4,Yes
420,30,Male,Bachelor degree ,Science and Technology,0-5,Unmarried,Yes,3-4,No
421,20,Male,Bachelor degree ,Science and Technology,0-5,Unmarried,Yes,3-4,No
422,40,Male,Master Degree,Management,11-20,Married,Yes,1-2,No
423,47,Male,Bachelor degree ,Science and Technology,21-30,Married,Yes,5-6,No
424,32,Male,Master Degree,Management,6-10,Married,Yes,3-4,No
425,31,Male,Ph.D,Humanities,11-20,Unmarried,Yes,3-4,No
426,55,Male,Ph.D,Engineering,31-40,Married,Yes,1-2,No
427,43,Female,M.Phil,Humanities,11-20,Married,No,5-6,Yes
428,46,Male,Master Degree,Humanities,21-30,Married,Yes,3-4,No
429,28,Female,Master Degree,Science and Technology,6-10,Married,Yes,3-4,No
